"","event_name","primary_act_name","secondary_act_name","major_cat_name","minor_cat_name","la_event_type_cat","event_disp_name","ticket_text","tickets_purchased_qty","trans_face_val_amt","delivery_type_cd","event_dt","event_time","presale_dt","onsale_dt","ord_create_dt","ord_create_time","sales_ord_tran_dt","print_dt","timezn_nm","venue_city_state","venue_postal_cd_sgmt_1","sales_platform_cd","print_flg","la_valid_tkt_event_flg","fin_mkt_nm"
"1","Xfinity Center Mansfield Premier Parking: Florida Georgia Line","XFINITY Center Mansfield Premier Parking","NULL","MISC","PARKING","PARKING","Xfinity Center Mansfield Premier Parking: Florida Georgia Line","   THIS TICKET IS VALID        FOR PARKING ONLY         GOOD THIS DAY ONLY       PREMIER PARKING PASS    XFINITY CENTER,LOTS 4 PM  SAT SEP 12 2015 7:30 PM  ",1,45,"eTicket",2015-09-12,"23:30:00",NA,2015-05-15,2015-09-11,"18:17:45",2015-09-11,2015-09-12,"EST","MANSFIELD, MASSACHUSETTS","02048","www.concerts.livenation.com","T ","N ","Boston"
"2","Gorge Camping - dave matthews band - sept 3-7","Gorge Camping","Dave Matthews Band","MISC","CAMPING","INVALID","Gorge Camping - dave matthews band - sept 3-7","%OVERNIGHT C A M P I N G%* * * * * *%GORGE CAMPGROUND%* GOOD THIS DATE ONLY *%SEP 3 - 6, 2009",1,75,"TicketFast",2009-09-05,"01:00:00",NA,2009-03-13,2009-07-06,"00:00:00",2009-07-05,2009-09-01,"PST","QUINCY, WASHINGTON","98848","NULL","T ","N ","Seattle"
"3","Dodge Theatre Adams Street Parking - benise","Parking Event","NULL","MISC","PARKING","PARKING","Dodge Theatre Adams Street Parking - benise","ADAMS STREET GARAGE%PARKING FOR 4/21/06 ONLY%DODGE THEATRE PARKING PASS%ENTRANCE ON ADAMS STREET%BENISE%GARAGE OPENS AT 6:00PM",1,5,"TicketFast",2006-04-22,"01:30:00",NA,2006-02-25,2006-04-05,"00:00:00",2006-04-05,2006-04-05,"MST","PHOENIX, ARIZONA","85003","NULL","T ","N ","Arizona"
"4","Gexa Energy Pavilion Vip Parking : kid rock with sheryl crow","Gexa Energy Pavilion VIP Parking","NULL","MISC","PARKING","PARKING","Gexa Energy Pavilion Vip Parking : kid rock with sheryl crow","   THIS TICKET IS VALID        FOR PARKING ONLY      GOOD FOR THIS DATE ONLY       VIP PARKING PASS        GEXA ENERGY PAVILION    FRI SEP 02 2011 7:00 PM  ",1,20,"Mail",2011-09-03,"00:00:00",NA,2011-04-22,2011-07-01,"17:38:50",2011-07-01,2011-07-06,"CST","DALLAS, TEXAS","75210","NULL","T ","N ","Dallas"
"5","Premier Parking - motley crue","White River Amphitheatre Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking - motley crue","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD THIS DATE ONLY%PREMIER PARKING PASS%WHITE RIVER AMPHITHEATRE%SAT JUL 30, 2005 6:00PM",1,20,"Mail",2005-07-31,"01:00:00",2005-03-02,2005-03-04,2005-06-18,"00:00:00",2005-06-18,2005-06-28,"PST","AUBURN, WASHINGTON","98092","NULL","T ","N ","Seattle"
"6","Fast Lane Access: Journey","Fast Lane Access","Journey","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","Fast Lane Access: Journey","        FAST LANE                  JOURNEY               FAST LANE EVENT         THIS IS NOT A TICKET    SAN MANUEL AMPHITHEATER   SAT JUL 21 2012 7:00 PM  ",2,10,"TicketFast",2012-07-22,"02:00:00",NA,2012-04-11,2012-07-21,"17:20:18",2012-07-21,2012-07-21,"PST","SAN BERNARDINO, CALIFORNIA","92407","www.livenation.com","T ","N ","Los Angeles"
"7","Phil Lesh & friends-pnc bank arts center holmdel premier parking","PNC Bank Arts Center Holmdel Premier Parking","NULL","MISC","PARKING","PARKING","Phil Lesh & friends-pnc bank arts center holmdel premier parking","THIS TICKET IS VALID%FOR PREMIER PARKING ONLY%GOOD FOR THIS DATE ONLY%PREMIER PARKING PASS%PNC BANK ARTS CENTER%SAT JUL 1, 2006 4:30PM",1,30,"TicketFast",2006-07-01,"20:30:00",NA,2006-05-12,2006-06-16,"00:00:00",2006-06-16,2006-06-16,"EST","HOLMDEL, NEW JERSEY","07733","NULL","T ","N ","New York"
"8","Star Parking Presented By Hertz: Train -  white river amp","White River Amphitheatre Premier Parking","NULL","MISC","PARKING","PARKING","Star Parking Presented By Hertz: Train -  white river amp"," THIS TICKET IS VALID FOR   PARKING THIS DATE ONLY      STAR PARKING PASS      WHITE RIVER AMPHITHEATRE    ENTER LOTS AT GATE 2    WED AUG 14 2013 7:30 PM  ",1,28,"Mail",2013-08-15,"02:00:00",NA,2013-02-16,2013-02-27,"18:48:23",2013-02-27,2013-03-04,"PST","AUBURN, WASHINGTON","98092","www.concerts.livenation.com","T ","N ","Seattle"
"9","Brad Paisley: Hertz Premier Parking","Hertz Premier Parking","Brad Paisley","MISC","PARKING","PARKING","Brad Paisley: Hertz Premier Parking","  HERTZ PREMIER PARKING          BRAD PAISLEY           NOT A SHOW TICKET     ASHLEY HOMESTORE PAVILION      REDEEM AT GATE 7      WED OCT 17 2012 7:00 PM  ",1,20,"TicketFast",2012-10-18,"02:00:00",NA,2012-08-18,2012-08-20,"17:57:39",2012-08-20,2012-08-20,"MST","PHOENIX, ARIZONA","85035","www.livenation.com","T ","N ","Arizona"
"10","Shlohmo","Shlohmo","Purple","CONCERTS","DANCE MUSIC/DANCE","CONCERTS","Shlohmo","       *** *** ***               THE FILLMORE            1805 GEARY BLVD               SHLOHMO           OPEN DANCE FLOOR/DRS 7PM  THU APR 30 2015 8:00 PM  ",1,25,"eTicket",2015-05-01,"03:00:00",NA,2014-12-12,2015-04-28,"07:07:40",2015-04-27,2015-04-30,"PST","SAN FRANCISCO, CALIFORNIA","94115","mobile.livenation.us","T ","Y ","N. California"
"11","Cricket Pavilion Premier Parking: Earth Wind And Fire With Chris Botti","Cricket Pavilion Phx. Premier Parking","NULL","MISC","PARKING","PARKING","Cricket Pavilion Premier Parking: Earth Wind And Fire With Chris Botti","GOOD FOR PARKING ONLY%PREMIER PARKING PASS%ENTER OFF 79TH AVENUE%CRICKET PAVILION%GOOD THIS DATE ONLY%SAT AUG 26 2006 8:00 PM",1,20,"TicketFast",2006-08-27,"02:00:00",NA,2006-06-12,2006-08-06,"00:00:00",2006-08-06,2006-08-06,"MST","PHOENIX, ARIZONA","85035","NULL","T ","N ","Arizona"
"12","Blake Shelton: Presented By Gildan","Blake Shelton","Chris Janson","CONCERTS","COUNTRY","CONCERTS","Blake Shelton: Presented By Gildan","   PRESENTED BY GILDAN          Blake Shelton              * * * * * *         THE PALACE-AUBURN HILLS         * * * * * *         SAT FEB 20 2016 7:30 PM  ",2,90,"eTicket",2016-02-21,"00:30:00",2015-12-09,2015-12-11,2015-12-09,"15:08:33",2015-12-09,2015-12-09,"EST","AUBURN HILLS, MICHIGAN","48326","www.ticketmaster.com","T ","Y ","Michigan"
"13","Skip The Line: Pierce The Line/all Time Low","Live Nation C-T Upsells - Special Access","NULL","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","Skip The Line: Pierce The Line/all Time Low","   NOT VALID FOR ENTRY          SKIP THE LINE       THIS IS NOT A CONCERT TKT     BAYOU MUSIC CENTER         520 TEXAS AVENUE      SUN APR 14 2013 6:30 PM  ",4,40,"TicketFast",2013-04-14,"23:30:00",NA,2013-01-10,2013-01-28,"18:33:49",2013-01-28,2013-01-28,"CST","HOUSTON, TEXAS","77002","www.concerts.livenation.com","T ","N ","Houston"
"14","Tabernacle Parking: Chris Botti","Tabernacle Parking","NULL","MISC","PARKING","PARKING","Tabernacle Parking: Chris Botti","PARKING PASS-PARKING ONLY%CHRIS BOTTI%CENTRAL PARKING%REDEEM UPON EXIT%ENTER AT LUCKIE & CONE%SUN JAN 14 2007  8:00PM",1,9,"Mail",2007-01-15,"01:00:00",NA,2006-11-29,2006-12-03,"00:00:00",2006-12-03,2006-12-06,"EST","ATLANTA, GEORGIA","30303","NULL","T ","N ","Atlanta"
"15","Premier Parking: Aerosmith","Virginia Beach Amphitheater VIP Parking","NULL","MISC","PARKING","PARKING","Premier Parking: Aerosmith","VALID FOR PARKING ONLY%PREMIER PARKING LOT%VERIZON WIRELESS VB AMP%PARKING FOR AEROSMITH%LOT OPENS 2 HOURS PRIOR%SAT OCT 21 2006 7:30PM",1,15,"TicketFast",2006-10-21,"23:30:00",NA,2006-09-16,2006-09-19,"00:00:00",2006-09-19,2006-09-19,"EST","VIRGINIA BEACH, VIRGINIA","23456","NULL","T ","N ","Virginia"
"16","Premier Parking: Toby Keith","Parking Event","NULL","MISC","PARKING","PARKING","Premier Parking: Toby Keith","THIS TICKET IS VALID%FOR PREMIER PARKING ONLY!%JUNE 28TH, 2008%TOBY KEITH%FORD AMPHITHEATRE%***USE MLK ENTRANCE***",1,20,"Mail",2008-06-28,"23:30:00",2008-04-03,2008-04-05,2008-04-05,"00:00:00",2008-04-05,2008-04-10,"EST","TAMPA, FLORIDA","33610","NULL","T ","N ","Tampa"
"17","Lindsey Stirling: The Music Box Tour","Lindsey Stirling","NULL","CONCERTS","ROCK/POP","CONCERTS","Lindsey Stirling: The Music Box Tour"," PRODUCED BY LIVE NATION       LINDSEY STIRLING         THE MUSIC BOX TOUR            *   *   *         JACOBS PAVILION AT NAUTICA TUE JUN 09 2015 8:00 PM  ",2,70,"eTicket",2015-06-10,"00:00:00",2015-03-19,2015-03-20,2015-06-01,"20:52:50",2015-06-01,2015-06-05,"CST","CLEVELAND, OHIO","44113","www.concerts.livenation.com","T ","Y ","Cleveland"
"18","Premier Parking : rascal flatts","XFINITY Center Mansfield Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking : rascal flatts","VALID FOR PARKING ONLY%PREMIER PARKING%COMCAST CTR, MANSFIELD%PARKING FOR RASCAL FLATTS%LOT OPENS 3 HOURS PRIOR%SAT SEP 13 2008 8:00PM",1,40,"Mail",2008-09-14,"00:00:00",2008-05-14,2008-05-17,2008-05-16,"00:00:00",2008-05-16,2008-05-22,"EST","MANSFIELD, MASSACHUSETTS","02048","NULL","T ","N ","Boston"
"19","Dodge Theatre Adams Street Parking - bb king","Parking Event","NULL","MISC","PARKING","PARKING","Dodge Theatre Adams Street Parking - bb king","ADAMS STREET GARAGE%GOOD ONLY 1/7/07%DODGE THEATRE PARKING PASS%ENTRANCE ON ADAMS STREET%BB KING%GARAGE OPENS AT 5:30PM",1,5,"Mail",2007-01-08,"02:30:00",NA,2006-08-28,2006-11-02,"00:00:00",2006-11-02,2006-11-06,"MST","PHOENIX, ARIZONA","85003","NULL","T ","N ","Arizona"
"20","Verizon Wireless Amphitheatre Vip Parking: Zac Brown Band","Verizon Wireless Amph. Charlotte Premier Parking","NULL","MISC","PARKING","PARKING","Verizon Wireless Amphitheatre Vip Parking: Zac Brown Band","THIS TICKET IS VALID FOR%ZAC BROWN BAND%VIP PARKING%VERIZON WIRELESS AMP CHA%USE HWY 29 TO PAVILION BL%SAT AUG 21 2010  7:00PM",1,20,"TicketFast",2010-08-21,"23:00:00",NA,2010-05-22,2010-07-30,"00:00:00",2010-07-30,1900-01-01,"EST","CHARLOTTE, NORTH CAROLINA","28262","NULL","F ","N ","Charlotte"
"21","Xfinity Center Mansfield Premier Parking: Tim Mcgraw","XFINITY Center Mansfield Premier Parking","NULL","MISC","PARKING","PARKING","Xfinity Center Mansfield Premier Parking: Tim Mcgraw","   THIS TICKET IS VALID        FOR PARKING ONLY         GOOD THIS DAY ONLY       PREMIER PARKING PASS   XFINITY CENTER,LOTS 3:30PM FRI JUN 12 2015 7:00 PM  ",1,45,"eTicket",2015-06-12,"23:00:00",NA,2015-02-20,2015-06-12,"16:53:19",2015-06-12,2015-06-12,"EST","MANSFIELD, MASSACHUSETTS","02048","www.concerts.livenation.com","T ","N ","Boston"
"22","Skip The Line: Maroon 5/kelly clarkson","Fast Lane Access","NULL","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","Skip The Line: Maroon 5/kelly clarkson","     FAST LANE ACCESS       MUST HAVE EVENT TICKET   GOOD FOR SHOW ON VOUCHER      COMCAST THEATRE       MAROON 5/KELLY CLARKSON    SAT AUG 31 2013 7:00PM  ",4,40,"TicketFast",2013-08-31,"23:00:00",NA,2013-04-01,2013-04-06,"14:16:22",2013-04-06,2013-06-04,"EST","HARTFORD, CONNECTICUT","06120","www.concerts.livenation.com","T ","N ","Boston"
"23","Vip Fast Lane: Dave Matthews Band","Vip Fast Lane","NULL","MISC","CONCESSION VOUCHERS (UPSELL)","UPSELL","Vip Fast Lane: Dave Matthews Band","EVENT TICKET REQUIRED%VIP FAST LANE VOUCHER%ONE VOUCHER PER PERSON%DAVE MATTHEWS BAND%SUSQUEHANNA BANK CENTER%WED JUN 30 2010 7:00PM",2,10,"Mail",2010-06-30,"23:00:00",NA,NA,2010-06-10,"00:00:00",2010-06-09,2010-06-15,"EST","CAMDEN, NEW JERSEY","08103","NULL","T ","N ","Delaware Valley"
"24","Premier Parking: John Mayer","First Niagara Pavilion VIP Parking","NULL","MISC","PARKING","PARKING","Premier Parking: John Mayer","USE 2ND LANE FROM LEFT%JOHN MAYER%PREMIER PARKING*20-AUG-08%RIGHT OF PEDESTRIAN WKWAY%%WED AUG 20 2008 7:00PM",1,25,"BWC",2008-08-20,"23:00:00",NA,2008-06-07,2008-08-20,"00:00:00",2008-08-19,2008-08-20,"EST","BURGETTSTOWN, PENNSYLVANIA","15021","NULL","T ","N ","Pittsburgh"
"25","Lakewood Amphitheatre Parking: Tim Mcgraw","Aaron's Amphitheatre at Lakewood Parking","NULL","MISC","PARKING","PARKING","Lakewood Amphitheatre Parking: Tim Mcgraw","**NOT VALID FOR CONCERT**%**VIP PARKING ONLY**%AT LAKEWOOD AMPHITHEATRE%TIM MCGRAW%ENTER ON PRYOR ROAD%WED JUN 11 2008  7:30PM",1,25,"Mail",2008-06-11,"23:30:00",NA,2008-03-01,2008-03-01,"00:00:00",2008-03-01,2008-03-06,"EST","ATLANTA, GEORGIA","30315","NULL","T ","N ","Atlanta"
"26","The Lawn At White River Vip Fast Lane: Moody Blues","Vip Fast Lane","NULL","MISC","CONCESSION VOUCHERS (UPSELL)","UPSELL","The Lawn At White River Vip Fast Lane: Moody Blues","TICKET IS GOOD FOR%VIP FAST LANE ACCESS%MOODY BLUES VIP FAST LANE%GOOD THIS DATE ONLY%LAWN AT WHITE RIVER%WED JUN 23 2010  7:30PM",2,10,"TicketFast",2010-06-23,"23:30:00",NA,NA,2010-05-21,"00:00:00",2010-05-21,1900-01-01,"CST","INDIANAPOLIS, INDIANA","46204","NULL","F ","N ","Indiana-Ohio"
"27","Godsmack","Godsmack","Within Reason","CONCERTS","ALTERNATIVE ROCK","CONCERTS","Godsmack","   LIVE NATION PRESENTS            GODSMACK             GENERAL ADMISSION        SOUTH SIDE BALLROOM     1135 S. LAMAR/DALLAS,TX   FRI APR 17 2015 8:00 PM  ",1,45,"eTicket",2015-04-18,"01:00:00",2015-02-04,2015-02-06,2015-04-16,"22:58:56",2015-04-16,2015-04-16,"CST","DALLAS, TEXAS","75215","www.concerts.livenation.com","T ","Y ","Dallas"
"28","Old National Centre Bottomless Soda: Childish Gambino","Fantastic Meal Voucher","NULL","MISC","DINNER PACKAGES (UPSELL)","UPSELL","Old National Centre Bottomless Soda: Childish Gambino","   OLD NATIONAL CENTRE         BOTTOMLESS SODA      REDEEM AT MAIN CONCESSION        IN THE LOBBY          GOOD THIS DATE ONLY     FRI JUN 15 2012 8:00 PM  ",1,6.5,"TicketFast",2012-06-16,"00:00:00",NA,2012-03-01,2012-06-12,"02:56:00",2012-06-11,2012-06-11,"CST","INDIANAPOLIS, INDIANA","46204","NULL","T ","N ","Indiana-Ohio"
"29","Wrsp Premier Parking : alice cooper","Parking Event","NULL","MISC","PARKING","PARKING","Wrsp Premier Parking : alice cooper","VALID FOR PARKING ONLY%THE LAWN PREMIER PARKING%WRSP UNDERGROUND GARAGE%ALICE COOPER%GOOD THIS DATE ONLY%FRI AUG 22 2008 7:30PM",1,15,"ISPU",2008-08-22,"23:30:00",NA,2008-06-14,2008-08-20,"00:00:00",2008-08-19,2008-08-20,"CST","INDIANAPOLIS, INDIANA","46204","NULL","T ","N ","Indiana-Ohio"
"30","Florence And The Machine: How Beautiful Tour","Florence and the Machine","Of Monsters and Men","CONCERTS","ROCK/POP","CONCERTS","Florence And The Machine: How Beautiful Tour","   LIVE NATION PRESENTS    FLORENCE AND THE MACHINE     HOW BEAUTIFUL TOUR     XFINITY CENTER,MANSFIELD  LOTS 4PM / DOORS 6:30PM   TUE JUN 07 2016 7:30 PM  ",2,40,"eTicket",2016-06-07,"23:30:00",2016-01-12,2016-01-16,2016-01-16,"19:30:08",2016-01-16,2016-01-16,"EST","MANSFIELD, MASSACHUSETTS","02048","www.concerts.livenation.com","T ","Y ","Boston"
"31","Premier Parking : vans wapred tour","Klipsch Music Ctr. Ind. Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking : vans wapred tour","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD THIS DATE ONLY%VANS WARPED TOUR%VERIZON WIRELESS MUSIC CTR%TUE AUG 7 2007 11:00AM",1,20,"TicketFast",2007-08-07,"15:00:00",NA,2007-04-14,2007-08-06,"00:00:00",2007-08-06,2007-08-06,"CST","NOBLESVILLE, INDIANA","46060","NULL","T ","N ","Indiana-Ohio"
"32","Bruce Springsteen And The E Street Band: The River Tour.","Bruce Springsteen and the E Street Band","Bruce Springsteen","CONCERTS","ROCK/POP","CONCERTS","Bruce Springsteen And The E Street Band: The River Tour."," CHESAPEAKE ENERGY ARENA      BRUCE SPRINGSTEEN       FULL """"""""""""""""THE RIVER"""""""""""""""" PLUS!     & THE E STREET BAND      NO CAMERAS / RECORDERS   SUN APR 03 2016 7:30 PM  ",2,300,"Paperless",2016-04-04,"00:30:00",NA,2016-01-30,2016-01-30,"16:37:52",2016-01-30,2016-01-30,"CST","OKLAHOMA CITY, OKLAHOMA","73102","iphone.ticketmaster.us","T ","Y ","Dallas"
"33","Premier Parking: Coldplay","Verizon Wireless Amph. Charlotte Premier Parking","Coldplay","MISC","PARKING","PARKING","Premier Parking: Coldplay","THIS TICKET IS VALID FOR%PREMIER PARKING%COLDPLAY%VERIZON WIRELESS AMPH CHA%USE HWY 29 TO PAVILION BLV%FRI SEP 9 2005 7:30PM",1,20,"UPS",2005-09-09,"23:30:00",NA,2005-06-04,2005-06-04,"00:00:00",2005-06-04,2005-06-05,"EST","CHARLOTTE, NORTH CAROLINA","28262","NULL","T ","N ","Charlotte"
"34","Gorge Camping - sasquatch! festival may 22-26","Gorge Camping","Sasquatch! Festival","MISC","CAMPING","INVALID","Gorge Camping - sasquatch! festival may 22-26","%OVERNIGHT C A M P I N G%SASQUATCH!%GORGE CAMPGROUND%GOOD THESE DAYS ONLY%MAY 22 - 25, 2009",1,95,"TicketFast",2009-05-23,"19:00:00",NA,2009-02-28,2009-03-21,"00:00:00",2009-03-21,2009-05-19,"PST","QUINCY, WASHINGTON","98848","NULL","T ","N ","Seattle"
"35","Premier Parking: Brooks & dunn","First Niagara Pavilion VIP Parking","NULL","MISC","PARKING","PARKING","Premier Parking: Brooks & dunn","USE 2ND LANE FROM FAR LEFT%BROOKS & DUNN W/SUGARLAND%PREMIER PARKING*03-JUN-06%RIGHT OF PEDESTRIAN WLKWAY%POST-GAZETTE PAVILION%NOT RESP FOR ANY LOSSES",1,22,"Mail",2006-06-03,"23:00:00",NA,2006-04-08,2006-05-18,"00:00:00",2006-05-18,2006-05-22,"EST","BURGETTSTOWN, PENNSYLVANIA","15021","NULL","T ","N ","Pittsburgh"
"36","Atlas Genius","Atlas Genius","Skylar Grey","CONCERTS","ALTERNATIVE ROCK","CONCERTS","Atlas Genius","       89X PRESENTS              ATLAS GENIUS            ALL AGES WELCOME            THE SHELTER         431 E CONGRESS, DETROIT  SAT APR 16 2016 DOORS 6PM ",2,34,"eTicket",2016-04-16,"22:00:00",2016-02-18,2016-02-19,2016-02-22,"15:52:08",2016-02-22,2016-02-22,"EST","DETROIT, MICHIGAN","48226","android.ticketmaster.us","T ","Y ","Michigan"
"37","Vip Parking: Jimmy Buffet","Klipsch Music Ctr. Ind. Premier Parking","NULL","MISC","PARKING","PARKING","Vip Parking: Jimmy Buffet","   THIS TICKET IS VALID        FOR PARKING ONLY        GOOD THIS DATE ONLY         VIP PARKING PASS     VERIZON WIRELESS MUSIC CTR THUR AUG 25 2011 8:00 PM ",1,25,"TicketFast",2011-08-26,"00:00:00",NA,2011-03-12,2011-06-13,"05:25:26",2011-06-12,2011-08-23,"CST","NOBLESVILLE, INDIANA","46060","NULL","T ","N ","Indiana-Ohio"
"38","Fiddlers Green Amph Parking (miranda lambert)","Comfort Dental Amph Vip Parking","NULL","MISC","PARKING","PARKING","Fiddlers Green Amph Parking (miranda lambert)","  VIP PARKING PASS ONLY     MIRANDA-NO SHOW ENTRY   TUSCANY PLAZA/FID GREEN CR NE OF BOX OFC/LOT 5:30PM    VAILD THIS DATE ONLY    SAT MAY 18 2013 7:00 PM  ",1,20,"TicketFast",2013-05-19,"01:00:00",NA,2013-04-05,2013-05-16,"03:18:01",2013-05-15,2013-05-15,"MST","ENGLEWOOD, COLORADO","80111","www.concerts.livenation.com","T ","N ","Colorado"
"39","Parking: Aerosmith & motley crue","Alpine Valley Music Theatre Premier Parking","NULL","MISC","PARKING","PARKING","Parking: Aerosmith & motley crue","ALPINE VALLEY%GOOD FOR ONE CAR ONLY%VALID ONLY ON DAY OF SHOW%MUST HAVE THIS TKT/TAX PD%PREMIER PARKING PASS%OCTOBER 7 2006",1,20,"TicketFast",2006-10-08,"00:30:00",NA,2006-06-24,2006-06-27,"00:00:00",2006-06-27,2006-06-29,"CST","ELKHORN, WISCONSIN","53121","NULL","T ","N ","Wisconsin"
"40","Cricket Wireless Amphitheatre Vip Parking: Lilith","AK-CHIN Pavilion Premier Parking","NULL","MISC","PARKING","PARKING","Cricket Wireless Amphitheatre Vip Parking: Lilith","WWW.LILITHFAIR.COM%LILITH PARKING%BY ABC & CRYSTAL LIGHT%CRICKET WIRELESS AMPHITHE%RAIN OR SHINE%WED JUL 07 2010  2:30PM",1,20,"TicketFast",2010-07-07,"21:30:00",NA,2010-04-07,2010-06-28,"00:00:00",2010-06-28,2010-06-28,"PST","CHULA VISTA, CALIFORNIA","91911","NULL","T ","N ","San Diego"
"41","Comedy Bang! Bang! Live!","Comedy Bang! Bang! Live!","NULL","CONCERTS","COMEDY","ARTS","Comedy Bang! Bang! Live!","   LIVE NATION PRESENTS       COMEDY BANG! BANG!       LIVE PODCAST TAPING     STARRING SCOTT AUKERMAN     THE GRAMERCY THEATRE   SAT MAY 14 2016 SHW 700 PM",2,57.5,"eTicket",2016-05-14,"23:00:00",2016-02-09,2016-02-12,2016-02-09,"22:10:23",2016-02-09,NA,"EST","NEW YORK, NEW YORK","10010","www.concerts.livenation.com","F ","Y ","New York"
"42","Premier Parking: Journey","Chevrolet Theatre Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking: Journey","THIS TICKET IS VALID%FOR PREMIER PARKING ONLY%GOOD FOR THIS DATE ONLY%JOURNEY%CHEVROLET THEATRE%SUN NOV 13 2005 7:30PM",1,10,"Mail",2005-11-14,"00:30:00",NA,2005-10-08,2005-10-08,"00:00:00",2005-10-08,2005-10-15,"EST","WALLINGFORD, CONNECTICUT","06492","NULL","T ","N ","Boston"
"43","Gorge Amphitheatre Camping: Dave Matthews Band Aug 29- sept 2,2013","Gorge Camping","NULL","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","Gorge Amphitheatre Camping: Dave Matthews Band Aug 29- sept 2,2013","CAMPGRND OPEN 3PM 8/29/13  OVERNIGHT C A M P I N G       * CAMPING PASS *          GORGE CAMPGROUND     * GOOD THESE DATES ONLY *    THUR-MON 8/29-9/2/13   ",1,90,"Mail",2013-08-29,"22:00:00",NA,2013-03-22,2013-04-19,"00:03:28",2013-04-18,2013-04-22,"PST","GEORGE, WASHINGTON","98848","www.concerts.livenation.com","T ","N ","Seattle"
"44","The Room: Emeli Sande","Tabernacle Vip Upgrade","NULL","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","The Room: Emeli Sande","THIS IS NOT A CONCERT TKT    THE ROOM ACCESS ONLY      MUST BE 21 OR OLDER           EMELI SANDE              THE TABERNACLE       WED JUL 03 2013 8:00 PM  ",2,40,"TicketFast",2013-07-04,"00:00:00",NA,2013-04-05,2013-06-29,"15:44:51",2013-06-29,2013-06-29,"EST","ATLANTA, GEORGIA","30303","www.concerts.livenation.com","T ","N ","Atlanta"
"45","Fast Lane Access - unity tour 2011: 311 & sublime with rome","Fast Lane Access","311","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","Fast Lane Access - unity tour 2011: 311 & sublime with rome","        FAST LANE                    311                 FAST LANE EVENT         NOT A CONCERT TICKET      VERIZON AMPHITHEATER      SAT AUG 20 2011 7PM    ",2,10,"Mail",2011-08-21,"01:30:00",NA,2011-04-30,2011-05-26,"00:00:00",2011-05-26,2011-05-31,"PST","IRVINE, CALIFORNIA","92618","NULL","T ","N ","Los Angeles"
"46","Insane Clown Posse - hallowicked","Insane Clown Posse","P.O.D.","CONCERTS","RAP/URBAN","CONCERTS","Insane Clown Posse - hallowicked","   LIVE NATION PRESENTS       INSANE CLOWN POSSE           HALLOWICKED           THE FILLMORE DETROIT      2115 WOODWARD AVENUE   SAT OCT 31 2015 DRS 630PM ",1,32.5,"Mail",2015-10-31,"22:30:00",2015-08-27,2015-08-28,2015-09-12,"20:55:30",2015-09-12,2015-09-16,"EST","DETROIT, MICHIGAN","48201","mobile.livenation.us","T ","Y ","Michigan"
"47","Vip Club Access: Onerepublic - this is not a concert ticket","Vip Upgrade","NULL","MISC","CONCESSION VOUCHERS (UPSELL)","UPSELL","Vip Club Access: Onerepublic - this is not a concert ticket","                            ADM TO VIP TENT ONLY!         VIP EXPERIENCE       VALID DAY OF SHOW ONLY!                              SUN JUN 29 2014 6:30PM  ",1,50,"eTicket",2014-06-29,"22:30:00",NA,2013-12-20,2013-12-18,"15:03:40",2013-12-18,2014-06-29,"EST","WANTAGH, NEW YORK","11793","www.concerts.livenation.com","T ","N ","New York"
"48","Bridge School Benefit Concert","Bridge School Benefit Concert","Neil Young","CONCERTS","ROCK/POP","CONCERTS","Bridge School Benefit Concert","       29TH ANNUAL          BRIDGE SCHOOL BENEFIT      1 *** 1 *** 1 *** 1      SHORELINE AMPHITHEATRE  ARTISTS SUBJECT TO CHANGE  SAT OCT 24 2015 5:00 PM  ",4,124,"eTicket",2015-10-25,"00:00:00",NA,2015-09-18,2015-09-18,"17:08:53",2015-09-18,2015-10-23,"PST","MOUNTAIN VIEW, CALIFORNIA","94043","www.concerts.livenation.com","T ","Y ","N. California"
"49","3 Day Gorge Camping For Sasquatch! Festival May 24-26","Gorge Camping","Sasquatch! Festival","MISC","CAMPING","INVALID","3 Day Gorge Camping For Sasquatch! Festival May 24-26","NO REFUNDS/NO REBATES%OVERNIGHT C A M P I N G%* 3 DAY PASS *%GORGE CAMPGROUND%* GOOD THIS DATE ONLY *%SAT-MON MAY 24-26, 2008",1,100,"Mail",2008-05-24,"19:00:00",2008-03-05,2008-03-08,2008-03-08,"00:00:00",2008-03-08,2008-03-13,"PST","QUINCY, WASHINGTON","98848","NULL","T ","N ","Seattle"
