"","event_name","primary_act_name","secondary_act_name","major_cat_name","minor_cat_name","la_event_type_cat","event_disp_name","ticket_text","tickets_purchased_qty","trans_face_val_amt","delivery_type_cd","event_dt","event_time","presale_dt","onsale_dt","ord_create_dt","ord_create_time","sales_ord_tran_dt","print_dt","timezn_nm","venue_city_state","venue_postal_cd_sgmt_1","sales_platform_cd","print_flg","la_valid_tkt_event_flg","fin_mkt_nm"
"870","Premier Parking : jvc jazz festival","Sleep Train Pavilion Concord Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking : jvc jazz festival","THIS TICKET IS VALID%FOR PARKING ONLY-GATE B%GOOD 8/19/06 ONLY%PREMIER PARKING%SLEEP TRAIN PAVILION%SAT AUG 19 2006",1,20,"TicketFast",2006-08-19,"23:00:00",NA,2006-05-18,2006-06-18,"00:00:00",2006-06-18,2006-06-18,"PST","CONCORD, CALIFORNIA","94521","NULL","T ","N ","N. California"
"871","Full Flex Express","Skrillex","Jack U","CONCERTS","DANCE MUSIC/DANCE","CONCERTS","Full Flex Express","     EMBRACE PRESENTS         FULL FLEX EXPRESS      WITH JACK U & ZEDS DEAD        TD ECHO BEACH        RAIN OR SHINE/R837398916  SAT JUL 11 2015 4:00 PM  ",2,110,"eTicket",2015-07-11,"20:00:00",NA,2015-04-08,2015-04-08,"18:48:30",2015-04-08,2015-07-11,"EST","TORONTO, ONTARIO","M6K","www.ticketmaster.ca","T ","Y ","Toronto"
"872","Reo Speedwagon: Fast Lane Access","Fast Lane Access","NULL","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","Reo Speedwagon: Fast Lane Access","   PRESENT THIS VOUCHER    ALONG WITH EVENT TICKET        SKIP THE LINE            FOR FASTER ENTRY     FARM BUREAU LIVE VA BEACH   SAT MAY 19 2012 6:40PM  ",1,5,"TicketFast",2012-05-19,"22:40:00",NA,2012-03-10,2012-04-18,"22:12:55",2012-04-18,2012-04-18,"EST","VIRGINIA BEACH, VIRGINIA","23456","NULL","T ","N ","Virginia"
"873","Fast Lane Early Entry - maybach music group tour","Fast Lane Access","NULL","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","Fast Lane Early Entry - maybach music group tour","   NOT AN EVENT TICKET      FAST LANE EARLY ENTRY    MAYBACH MUSIC GROUP TOUR  THE FILLMORE MIAMI BEACH      VOID AT 7:00 PM       WED DEC 05 2012 6:15 PM  ",1,10,"TicketFast",2012-12-06,"01:00:00",NA,2012-11-09,2012-11-30,"02:53:12",2012-11-29,2012-12-05,"EST","MIAMI BEACH, FLORIDA","33139","www.concerts.livenation.com","T ","N ","Miami"
"874","Vip Parking Aarons Amphitheatre At Lakewood: Def Leppard","Aaron's Amphitheatre at Lakewood Parking","NULL","MISC","PARKING","PARKING","Vip Parking Aarons Amphitheatre At Lakewood: Def Leppard","**NOT VALID FOR CONCERT**%**VIP PARKING ONLY**%AARON'S AMP. AT LAKEWOOD%DEF LEPPARD%ENTER ON PRYOR ROAD%SAT AUG 15 2009  7:00PM",1,25,"TicketFast",2009-08-15,"23:00:00",NA,2009-03-11,2009-03-14,"00:00:00",2009-03-14,2009-03-14,"EST","ATLANTA, GEORGIA","30315","NULL","T ","N ","Atlanta"
"875","R.e.m.: Jones Beach Theater Premier Parking","Nikon At Jones Beach Theater Premier Parking","NULL","MISC","PARKING","PARKING","R.e.m.: Jones Beach Theater Premier Parking","THIS TICKET IS VALID%FOR PREMIER PARKING ONLY%GOOD FOR THIS DATE ONLY%NIKON AT%JONES BEACH THEATER%SAT JUN 14, 2008 7:00PM",1,15,"Mail",2008-06-14,"23:00:00",NA,2008-04-05,2008-04-05,"00:00:00",2008-04-05,2008-04-10,"EST","WANTAGH, NEW YORK","11793","NULL","T ","N ","New York"
"876","Cheese Pizza Meal Deal","Warped Tour Pizza Meal","NULL","MISC","CONCESSION VOUCHERS (UPSELL)","UPSELL","Cheese Pizza Meal Deal","                               VANS WARPED TOUR          PIZZA MEAL DEAL                                  FIRST NIAGARA PAVILION    WED JUL 17 2013 11:00AM ",4,34,"TicketFast",2013-07-17,"15:00:00",NA,NA,2013-07-16,"23:36:19",2013-07-16,2013-07-17,"EST","BURGETTSTOWN, PENNSYLVANIA","15021","www.concerts.livenation.com","T ","N ","Pittsburgh"
"877","Premier Parking: Breaking Benjamin","Verizon Wireless Amph. Charlotte Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking: Breaking Benjamin","THIS TICKET IS VALID FOR%PREMIER PARKING%BREAKING BENJAMIN%VERIZON WIRELESS AMPH CHA%HWY 29 TO PAVILION BLVD%FRI SEP 28 2007 6:30PM",1,20,"TicketFast",2007-09-28,"22:30:00",NA,2007-08-04,2007-08-26,"00:00:00",2007-08-26,2007-09-01,"EST","CHARLOTTE, NORTH CAROLINA","28262","NULL","T ","N ","Charlotte"
"878","Premier Parking: Stone Temple Pilots","Midflorida Amphitheatre Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking: Stone Temple Pilots","THIS TICKET IS VALID%FOR PREMIER PARKING ONLY!%STONE TEMPLE PILOTS%AUGUST 22ND, 2008%FORD AMPHITHEATRE%* * USE MLK ENTRANCE* *",1,20,"TicketFast",2008-08-22,"23:00:00",NA,2008-06-21,2008-06-22,"00:00:00",2008-06-22,2008-06-22,"EST","TAMPA, FLORIDA","33610","NULL","T ","N ","Tampa"
"879","Dancing With The Stars: Live!","Dancing with the Stars","NULL","CONCERTS","ROCK/POP","CONCERTS","Dancing With The Stars: Live!","                            DANCING WITH THE STARS  NO CAMERAS,FILMING,SMOKING   WINSTAR WORLD CASINO      DOORS OPEN AT 6:30PM    FRI FEB 05 2016 8:00 PM  ",2,110,"eTicket",2016-02-06,"02:00:00",2015-10-21,2015-10-26,2015-11-25,"02:47:56",2015-11-24,2016-02-03,"CST","THACKERVILLE, OKLAHOMA","73459","www.ticketmaster.com","T ","Y ","Dallas"
